select_type,select_args,found,initial_pop,in_min_len,in_max_len,ev_cycles,cross_prob,mut_prob,max_mut_len,tests,mse,evaluations,exec_time,gen
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 4.060039e+02, 4900459, 4146.820783, 500
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.467690e+02, 4970518, 3512.542033, 500
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 4.873387e+02, 5692036, 669.565518, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.460339e+02, 5697252, 87.144425, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 4.050554e+02, 5703612, 217.608112, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.115073e+02, 5684032, 179.458414, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.094136e+02, 5706967, 262.008706, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 8.827104e+02, 5674026, 399.254864, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 9.890825e+02, 5694957, 1043.726795, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.077073e+03, 5713538, 2912.066259, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 7.135195e+02, 5695721, 376.399873, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.900699e+02, 5709865, 116.021096, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.556823e+02, 5712867, 385.112962, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.014035e+03, 5672505, 688.145494, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.393738e+02, 5697094, 260.797175, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.730800e+02, 5713104, 210.309700, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.136261e+02, 5695580, 675.973552, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 4.427023e+02, 5704996, 106.199185, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.188025e+03, 5690188, 909.971329, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.822415e+02, 5706878, 168.025515, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 7.027456e+02, 5676933, 255.346972, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.265141e+03, 5683368, 233.215873, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.524549e+02, 5699596, 247.554362, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.062984e+03, 5648184, 126.262084, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.933792e+02, 5694917, 808.987605, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.186715e+03, 5689044, 256.438408, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.692300e+02, 5696059, 1229.210992, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.477355e+03, 5711245, 685.926360, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.171174e+02, 5694375, 790.770999, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.170545e+03, 5695074, 199.304316, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.243289e+02, 5696633, 156.297790, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.374304e+02, 5669096, 2321.832448, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.550467e+02, 5703166, 2983.858879, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.945868e+02, 5700036, 626.299141, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.004291e+02, 5708476, 231.216613, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.515331e+02, 5697544, 565.552022, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.506591e+02, 5685728, 136.389483, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.168551e+02, 5704256, 191.238917, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 7.617314e+02, 5676800, 295.071576, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.739568e+02, 5561518, 370.476698, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 4.163649e+02, 5689326, 266.353681, 230
elitism, 10000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.338112e+02, 5663233, 951.146251, 230
